title,company,location,date,job_url,job_description
Data Analyst - JK,Pasona Singapore Pte. Ltd.,"Singapore, Singapore",2024-10-07,https://www.linkedin.com/jobs/view/4042511593/,"SQL, Python, Tableau"
Data Analyst - SeaMoney (Campus Recruitment 2024),SeaMoney,"Singapore, Singapore",2024-10-11,https://www.linkedin.com/jobs/view/3904854407/,"SQL, Python"
Data Analyst - Terminal System,DP World,"Singapore, Singapore",2024-10-10,https://www.linkedin.com/jobs/view/4044901512/,
Data Center Engineer #66104,,"Singapore, Singapore",2024-10-11,https://www.linkedin.com/jobs/view/4045144882/,"sem, AWS, communication"
Data Center Network Engineer,Jobscentral,Singapore,2024-10-08,https://www.linkedin.com/jobs/view/4042966354/,"firewall, Go, erp, Python, Ansible, communication"
Data Center Systems Engineer,Amazon Web Services (AWS),"Singapore, Singapore",2024-10-08,https://www.linkedin.com/jobs/view/4010587409/,"go, Amazon Web Services, safe, less, AWS"
"Data Centre (DC) Engineer / Project Support (Racking, Structured Cabling Design, Banking Domain)",Smart IMS Inc.,"Singapore, Singapore",2024-10-05,https://www.linkedin.com/jobs/view/4041253776/,"Communication, Go, erp, time management, Inventory management, communication, AWS"
Data Engineer,Exasoft,"Singapore, Singapore",2024-10-08,https://www.linkedin.com/jobs/view/4045413155/,"Java, Power BI, Docker, Spark, Kubernetes, go, Python, Informatica, NoSQL, Hadoop, Tableau, communication, SQL, AWS"
Data Engineer,GoNetZero™,"Singapore, Singapore",2024-10-08,https://www.linkedin.com/jobs/view/4043554071/,"ETL, Go, lean, erp, go, Python, PostgreSQL, Sem, SQL, less, communication"
Data Engineer,Manpower Singapore,Singapore,2024-10-07,https://www.linkedin.com/jobs/view/4040845283/,
Data Engineer,Sciente International P/L,"Singapore, Singapore",2024-10-11,https://www.linkedin.com/jobs/view/4045977201/,"Java, Go, ETL, Spark, lean, go, Python, Hadoop, safe, communication, Airflow, Terraform, SQL, AWS, Snowflake"
Data Engineer,Yinson,"Singapore, Singapore",2024-10-09,https://www.linkedin.com/jobs/view/4046353684/,"Java, Power BI, Microsoft Azure, AWS, erp, go, Python, process improvement, safe, SQL, communication"
Data Engineer (Contract),Prudential Assurance Company Singapore,"Singapore, Singapore",2024-10-09,https://www.linkedin.com/jobs/view/4044609757/,
"Data Engineer (Data mapping,ETL)",Unison Consulting,"Singapore, Singapore",2024-10-09,https://www.linkedin.com/jobs/view/4046622300/,
"Data Engineer (ETL, snowflake, AWS) - 6.5k",Randstad Singapore,"Singapore, Singapore",2024-10-11,https://www.linkedin.com/jobs/view/4045669567/,"ETL, snowflake, go, Python, SQL, AWS"
Data Engineer (SQL_Python_SnowFlake_CICD_DataWarehouse),Maltem Asia-Pacific,"Singapore, Singapore",2024-10-10,https://www.linkedin.com/jobs/view/4047580403/,"ETL, Go, erp, go, Python, Informatica, SQL, JAVA, perl, Snowflake, AWS"
Data Engineer - Fresh Grad,HoYoverse,Singapore,2024-10-10,https://www.linkedin.com/jobs/view/3984760469/,"Java, Spark, go, Python, Seo, Hadoop, SQL, less"
Data Engineer - Global Payment - Singapore,ByteDance,Singapore,2024-10-06,https://www.linkedin.com/jobs/view/3973171037/,"Java, Go, ETL, Spark, go, Python, Hadoop, SQL, sem, risk management"
Data Engineer(Data Mapping & ETL),Unison Consulting,"Singapore, Singapore",2024-10-10,https://www.linkedin.com/jobs/view/4047521084/,"ETL, Agile, go, Python, Talend, SQL, AWS"
"Data Engineer, Quantitative Strategy",GovTech Singapore,"Singapore, Singapore",2024-10-07,https://www.linkedin.com/jobs/view/3886799243/,"ETL, Go, Java, Docker, Agile, AWS, Spark, lean, go, Python, Hadoop, safe, Airflow, Terraform, SQL, communication"
Data Platform Engineer (Backend),Hudson Singapore,Singapore,2024-10-08,https://www.linkedin.com/jobs/view/4042932150/,"Docker, Kubernetes, go, Python, communication, AWS"
Data Quality Assurance Engineer - Data Platform,TikTok,Singapore,2024-10-07,https://www.linkedin.com/jobs/view/3794321127/,"ETL, Go, Spark, python, erp, go, Seo, Hadoop, SQL, safe, JAVA, communication"
Data Quality Assurance Engineer - Data Platform 2025 Start,ByteDance,Singapore,2024-10-11,https://www.linkedin.com/jobs/view/3925231571/,"ETL, Go, Spark, python, erp, go, Hadoop, SQL, safe, JAVA, communication"
Data Scientist,PRISM+,"Singapore, Singapore",2024-10-09,https://www.linkedin.com/jobs/view/4036913415/,"demand forecasting, go, Python, Tableau, ios, communication"
Data strategy engineer - Paid Ads,TikTok,Singapore,2024-10-08,https://www.linkedin.com/jobs/view/3617752147/,"python, go, Seo, communication"
Database Engineer,HIGOGAME PTE. LTD,"Singapore, Singapore",2024-10-07,https://www.linkedin.com/jobs/view/4041916942/,
Database Engineer,IDEMIA,"Singapore River, Central Singapore Community Development Council, Singapore",2024-10-10,https://www.linkedin.com/jobs/view/4047906523/,"Go, python, erp, go, Perl, PostgreSQL, safe, ios, Bash, SQL, communication"
Database Engineer - 12 months contract - Up to $6K,Manpower Singapore,"Singapore, Singapore",2024-10-07,https://www.linkedin.com/jobs/view/4044522705/,"Mysql, MariaDB, go, Redis, process improvement, MongoDB, PostgreSQL, sem, SQL, communication"
Engineer - Principal Engineer (Gas System Infrastructure/ GSD),Energy Market Authority (EMA),Singapore,2024-10-10,https://www.linkedin.com/jobs/view/3995209751/,"Go, erp, go, safe, communication"
Frontend Software Engineer - Digital Bank,Shopee,"Singapore, Singapore",2024-10-05,https://www.linkedin.com/jobs/view/4041529357/,"Java, Go, lean, erp, React, Typescript"
Frontend Software Engineer - TikTok Live - Singapore,TikTok,"Singapore, Singapore",2024-10-08,https://www.linkedin.com/jobs/view/4043571931/,"Seo, communication"
Frontend Software Engineer - TikTok Local Service,Jobscentral,Singapore,2024-10-11,https://www.linkedin.com/jobs/view/4045559341/,"Java, go, Seo, communication"
Frontend Software Engineer | React,ScienTec Consulting Pte. Ltd.,"Singapore, Singapore",2024-10-04,https://www.linkedin.com/jobs/view/4041027707/,"Java, go, React, process improvement, LESS, SASS, communication, less, AWS"
Full-Stack Software Engineer - 2025 Start,ByteDance,Singapore,2024-10-09,https://www.linkedin.com/jobs/view/3993532481/,
Fullstack Software Engineer - Geospatial & Cloud,Nika.eco,Singapore,2024-10-10,https://www.linkedin.com/jobs/view/4045663758/,
"HPC System Engineer (System), NSCC",Jobscentral,Singapore,2024-10-11,https://www.linkedin.com/jobs/view/4045561359/,"Go, DNS, Python, Perl, PHP, Bash, less"
Information Technology - Data Scientist (Data Science Track),Jobscentral,Singapore,2024-10-05,https://www.linkedin.com/jobs/view/4041371909/,"Java, Go, Scrum, Spark, GCP, Agile, erp, go, Python, TypeScript, communication, SQL, AWS, Kanban"
"Intern, Data Analytics (June to Dec 2025)",Kuok Group Singapore,"Singapore, Singapore",2024-10-11,https://www.linkedin.com/jobs/view/4028651477/,"Power BI, lean, erp, go, Python, Tableau, SQL"
Internship - Data Analysis (Industrial Engineering),Infineon Technologies,Singapore,2024-10-07,https://www.linkedin.com/jobs/view/4044538568/,"ETL, Python, Tableau, sem, SQL"
Junior Data Engineer,Gravitas Recruitment Group (Global) Ltd,"Singapore, Singapore",2024-10-11,https://www.linkedin.com/jobs/view/4046128892/,"agile, Power BI, Spark, Python, Tableau, risk management, SQL"
NLP Engineer - Marketplace Intelligence & Data,Shopee,"Singapore, Singapore",2024-10-09,https://www.linkedin.com/jobs/view/4045309736/,"Java, go, Python"
Operating System Engineer,RiDiK (a Subsidiary of CLPS. Nasdaq: CLPS),"Singapore, Singapore",2024-10-09,https://www.linkedin.com/jobs/view/4044816205/,"Communication, technical support, erp, go, Adaptability, PowerShell, less, communication, Technical Support"
Platform Engineer,Argyll Scott,"Singapore, Singapore",2024-10-05,https://www.linkedin.com/jobs/view/4041226429/,"Flask, GCP, Django, Python, AWS"
R&D Software Engineer (Data Engineer - Quantum),Keysight Technologies,"Singapore, Singapore",2024-10-08,https://www.linkedin.com/jobs/view/4039790529/,"ETL, Go, go, Python, SQL, teamwork, sem, Spark, communication, Airflow"
Senior / Data Engineer,EM Services Pte Ltd,"Singapore, Singapore",2024-10-06,https://www.linkedin.com/jobs/view/3847287580/,"ETL, Power BI, lean, erp, Python, SQL, communication"
Senior / Lead Data Engineer,Vanguard Software,"Singapore, Singapore",2024-10-11,https://www.linkedin.com/jobs/view/4046109777/,"ETL, Power BI, leadership, Java, GCP, erp, go, Python, NoSQL, Tableau, Hadoop, SQL, communication, BigQuery, Spark, AWS, Snowflake"
Senior Competitive Intelligence Engineer,Traveloka,"Singapore, Singapore",2024-10-07,https://www.linkedin.com/jobs/view/3909114940/,"Java, Android, GCP, AWS, NoSQL, Kotlin, less, communication"
Senior Data Analyst,Nigel Frank International,"Singapore, Singapore",2024-10-07,https://www.linkedin.com/jobs/view/4041941997/,
Senior Data Analyst,ShopBack,"Singapore, Singapore",2024-10-09,https://www.linkedin.com/jobs/view/3992419783/,
Senior Data Analyst - Marketplace Product,Shopee,"Singapore, Singapore",2024-10-10,https://www.linkedin.com/jobs/view/3998775467/,"ETL, Spark, go, Python, Tableau, Hadoop, SQL, communication"
"Senior Data Engineer (Fintech team) (Bangkok based, relocation provided)",Agoda,"Singapore, Singapore",2024-10-04,https://www.linkedin.com/jobs/view/4043182209/,
Senior Data Platform Engineer,Airwallex,"Singapore, Singapore",2024-10-07,https://www.linkedin.com/jobs/view/3879783097/,
Senior Software Engineer,Innova Solutions,Singapore,2024-10-10,https://www.linkedin.com/jobs/view/4045372734/,
Senior Software Engineer,SEPHORA,"Singapore, Singapore",2024-10-08,https://www.linkedin.com/jobs/view/4020612194/,"SEO, Java, etl, go, React, Angular, Spark, communication"
Senior Software Engineer,ST Engineering,"Singapore, Singapore",2024-10-08,https://www.linkedin.com/jobs/view/4043547776/,"Go, SQL"
Senior Software Engineer - Big Data,Charterhouse Asia,"Singapore, Singapore",2024-10-11,https://www.linkedin.com/jobs/view/4038858084/,"sem, Java, Spark"
Senior System Engineer,Selby Jennings,"Singapore, Singapore",2024-10-11,https://www.linkedin.com/jobs/view/3959598305/,
Server Software Engineer - Paid Ads,Shopee,"Singapore, Singapore",2024-10-11,https://www.linkedin.com/jobs/view/3611210003/,"Java, Go, go, ElasticSearch, Redis, communication"
Software Applications Development Engineer,NTT,Singapore,2024-10-10,https://www.linkedin.com/jobs/view/4047739366/,"Java, Docker, Go, erp, go, Python, MySQL, Jenkins, communication"
Software Architect Engineer (Big Data) - Data Infrastructure,Shopee,"Singapore, Singapore",2024-10-10,https://www.linkedin.com/jobs/view/4045668276/,"Hadoop, Java, Spark"
"Software Development Engineer in Test , TikTok Live",Jobscentral,Singapore,2024-10-11,https://www.linkedin.com/jobs/view/4045559319/,"Java, Go, Seo, Python, go, PHP, ios, less, communication"
Software Development Engineer in Test - TikTok (Singapore),Jobscentral,Singapore,2024-10-09,https://www.linkedin.com/jobs/view/4044037643/,"Java, Go, Docker, Seo, Python, go, Redis, iOS, penetration testing, Spark, Android, aws"
Software Engineer,,"Singapore, Singapore",2024-10-11,https://www.linkedin.com/jobs/view/4045143990/,"Penetration Testing, Java, GCP, Python, React, MySQL, TypeScript, Vulnerability Assessment, NoSQL, DynamoDB, Angular, SQL, less, AWS"
Software Engineer,Aitek Group,"Singapore, Singapore",2024-10-10,https://www.linkedin.com/jobs/view/4047543186/,"erp, communication"
Software Engineer,Aon,"Singapore, Singapore",2024-10-11,https://www.linkedin.com/jobs/view/3994775904/,
Software Engineer,AvePoint,Singapore,2024-10-08,https://www.linkedin.com/jobs/view/3919043675/,
Software Engineer,BAH Partners,"Singapore, Singapore",2024-10-10,https://www.linkedin.com/jobs/view/4045353208/,"go, teamwork, Adaptability"
Software Engineer,BIPO,"Singapore, Singapore",2024-10-07,https://www.linkedin.com/jobs/view/4042517557/,"agile, Communication, leadership, teamwork, SQL"
Software Engineer,Tech Mahindra,"Singapore, Singapore",2024-10-10,https://www.linkedin.com/jobs/view/4045658504/,"Go, go, React, TypeScript, AWS"
Software Engineer,Tokka Labs,"Singapore, Singapore",2024-10-11,https://www.linkedin.com/jobs/view/4046104476/,"TypeScript, go, Python"
Software Engineer (Big Data) - Application Computing,Jobscentral,Singapore,2024-10-11,https://www.linkedin.com/jobs/view/4045558543/,
Software Engineer (HDFS) - Technical Infrastructures,TikTok,Singapore,2024-10-09,https://www.linkedin.com/jobs/view/3804736395/,"Java, technical support, Seo, go, Hadoop, Spark"
"Software Engineer (HDFS), Technical Infrastructures",TikTok,Singapore,2024-10-08,https://www.linkedin.com/jobs/view/3802733669/,"Java, technical support, Seo, go, Hadoop, Spark"
Software Engineer (ReactJS),Capgemini,"Singapore, Singapore",2024-10-08,https://www.linkedin.com/jobs/view/4039845678/,
Software Engineer (University Graduate) (Singapore),Meta,Singapore,2024-10-08,https://www.linkedin.com/jobs/view/4042297960/,
Software Engineer - Fresh Grad,PayPal,"Singapore, Singapore",2024-10-08,https://www.linkedin.com/jobs/view/4043321174/,"agile, Java, scrum, erp, go, NoSQL, Spring, Jenkins, safe, SQL, less"
"Software Engineer, New Grad",Stripe,"Singapore, Singapore",2024-10-05,https://www.linkedin.com/jobs/view/4008209637/,"Java, Go, leadership, erp, go, Ruby, safe"
Software Test Engineer,Nityo Infotech,"Singapore, Singapore",2024-10-08,https://www.linkedin.com/jobs/view/4005465124/,"agile, Java, Go, Docker, Kubernetes, go, MySQL, React, TypeScript, Redis, PostgreSQL, AWS, Elasticsearch, Leadership"
Sr Software Engineer_24WD81176,Jobscentral,Singapore,2024-10-04,https://www.linkedin.com/jobs/view/4040869849/,
System Engineer,A-IT Software Services Pte Ltd,"Singapore, Singapore",2024-10-07,https://www.linkedin.com/jobs/view/4042521021/,
System Engineer,Digital Realty,"Singapore, Singapore",2024-10-09,https://www.linkedin.com/jobs/view/4009802456/,"Communication, go"
System Engineer,KrisShop,"Singapore, Singapore",2024-10-07,https://www.linkedin.com/jobs/view/4044541432/,
System Engineer (IT Infra & Network),Newtone consulting,"Singapore, Singapore",2024-10-05,https://www.linkedin.com/jobs/view/4032378822/,
Trainee - BI,,"Singapore, Singapore",2024-10-11,https://www.linkedin.com/jobs/view/4045147826/,
[Expression of Interest] Data Engineer (SDK),HoYoverse,Singapore,2024-10-10,https://www.linkedin.com/jobs/view/3768185071/,"Java, Go, Spark, Seo, Python, go, Hadoop, SQL, risk management, less, communication"
[LPS] Oracle Database Engineer,LPS,"Singapore, Singapore",2024-10-08,https://www.linkedin.com/jobs/view/4025575058/,"Go, etl, erp, go, SQL, communication"
